,id,name,status,formed_in,genre,theme,active,ended_in,country
229,883,Bestiality,Active,2012.0,Death Metal,Death,2012-2022,2022,Germany
230,886,Betrayal,Active,2005.0,Death Metal,Self reflection,2005-2022,2022,Germany
231,891,Beyond Death,Active,2003.0,Death Metal,Armageddon,2003-2022,2022,Bolivia
232,899,Beyond the Desert,Split-up,2005.0,Death Metal,Death,2005-2008,2008,Poland
233,903,Bibliopegia Antropodermica,Active,2013.0,Death Metal,Literature,2013-2022,2022,Italy
234,906,Binah,Active,2011.0,Death Metal,Obscurity,2011-2022,2022,United Kingdom
235,908,Biological Meltdown,Active,2009.0,Death Metal,Horror,2009-2022,2022,United States
236,911,Biorzict Infegoth,On hold,2011.0,Death Metal,Daily Life,2011-2013,2013,Indonesia
237,915,Birth Asphyxia,Active,2009.0,Death Metal,Gore,2009-2022,2022,Japan
238,916,Bitchery,Split-up,2000.0,Death Metal,Gore,2000-2007,2007,Germany
239,917,Bitter Dissection,Split-up,2008.0,Death Metal,Violence,2008-2014,2014,El Salvador
240,919,Bizarre,Active,2015.0,Death Metal,Death,2015-2022,2022,Spain
241,930,Black Jesus,Active,2008.0,Death Metal,Anti-Christianity,2008-2022,2022,Australia
242,932,Black Magick Dragon,Active,2011.0,Death Metal,Science Fiction,2011-2022,2022,United States
243,939,Black September,Active,2006.0,Death Metal,Mythology,2006-2022,2022,United States
244,951,Bladecatcher,Active,2014.0,Death Metal,Ancient Ones,2014-2022,2022,United States
245,952,Blasfemia,Active,1993.0,Death Metal,Anti-Religion,1993-2022,2022,Honduras
246,953,Blashyrkh,Active,2012.0,Death Metal,Life,2012-2022,2022,Indonesia
247,960,Blaspherian,Active,2004.0,Death Metal,Satanism,2004-2022,2022,United States
248,963,Blastanus,Active,2007.0,Death Metal,Struggle,2007-2022,2022,Finland
249,967,Blaster,Active,1991.0,Death Metal,Gore,1991-2022,2022,Mexico
250,971,Bleach Eater,Active,2009.0,Death Metal,Death,2009-2022,2022,United States
251,982,Bleeding Ground,Split-up,1995.0,Death Metal,Demons Hell Death,1995-1996,1996,United States
252,983,Bleeding Hammer,Split-up,2010.0,Death Metal,Death,2010-2012,2012,Italy
253,992,Blessed by Perversion,Active,2010.0,Death Metal,Anti-Christianity,2010-2022,2022,Greece
254,994,Blessed Extinction,Active,2013.0,Death Metal,Violence,2013-2022,2022,Colombia
255,997,Blessed Slaughter,Active,2002.0,Death Metal,Torture,2002-2022,2022,Colombia
256,1001,Blindeath,Active,2006.0,Death Metal,Society,2011-2022,2022,Chile
257,1003,Blindfolded,Active,2012.0,Death Metal,Sorrow,2012-2022,2022,Norway
258,1005,Blodlyst,Active,2009.0,Death Metal,Death,2009-2022,2022,Denmark
259,1006,Bloedblaar,Active,2009.0,Death Metal,Sexual Humour,2009-2022,2022,Netherlands
260,1007,Blood & Iron,Active,2005.0,Death Metal,Aryanism,2005-2022,2022,United States
261,1008,Blood Ages,Active,2009.0,Death Metal,Heroic fantasy,2009-2022,2022,France
262,1010,Blood Drift,Active,2006.0,Death Metal,Christianity,2006-2022,2022,Belgium
263,1012,Blood Edition,Active,2006.0,Death Metal,War,2006-2022,2022,Italy
264,1015,Blood Incantation,Active,2011.0,Death Metal,Anunnaki Mythos,2011-2022,2022,United States
265,1017,Blood Legion,Active,2008.0,Death Metal,Religion,2008-2022,2022,Malaysia
266,1020,Blood Mortized,Active,2007.0,Death Metal,Death,2007-2022,2022,Sweden
267,1021,Blood Oath,Active,2014.0,Death Metal,Madness,2014-2022,2022,Chile
268,1023,Blood Obsession,Active,2001.0,Death Metal,Death,2001-2013,2013,United States
269,1024,Blood of Christ,Split-up,1993.0,Death Metal,Anti-Christianity,1993-2006,2006,Canada
270,1025,Blood of Christ,Split-up,1990.0,Death Metal,Sacrilege,1991-1993,1993,United States
271,1026,Blood of Seklusion,Active,2007.0,Death Metal,War,2007-2022,2022,Italy
272,1029,Blood Red Throne,Active,1998.0,Death Metal,Murder,1998-2022,2022,Norway
273,1030,Blood Ritual,Active,1992.0,Death Metal,Satanism,1992-2022,2022,United States
274,1038,Bloodbath,Active,1998.0,Death Metal,Blasphemy,1998-2022,2022,Sweden
275,1041,Bloodfart,Split-up,1999.0,Death Metal,Violence,1999-2004,2004,Belgium
276,1042,Bloodfiend,Active,2009.0,Death Metal,Death,2009-2022,2022,Argentina
277,1045,Bloodgod,Active,2011.0,Death Metal,Life,2011-2022,2022,Netherlands
278,1047,Bloodgut,Split-up,2004.0,Death Metal,Misanthropy,2004-2011,2011,Sweden
279,1049,Bloodjob,Active,2007.0,Death Metal,Murder,2007-2022,2022,Germany
280,1053,Bloodlust,Split-up,2000.0,Death Metal,Anti-Religion,2000-2007,2007,Bangladesh
281,1058,Bloodrain,Active,2009.0,Death Metal,Violence,2009-2022,2022,Mexico
282,1061,Bloodshed,Active,1994.0,Death Metal,Darkness,1994-2022,2022,Germany
283,1065,Bloodshed,Active,2011.0,Death Metal,Blood,2011-2022,2022,Russia
284,1070,Bloodsin,Active,2001.0,Death Metal,Horror,2001-2022,2022,Netherlands
285,1076,Bloodsoul,Split-up,2003.0,Death Metal,Death,2003-2010,2010,Finland
286,1077,Bloodspawn,Active,2006.0,Death Metal,Violence,2006-2022,2022,Belgium
287,1079,Bloodstained,Active,1989.0,Death Metal,Hell,1989-2022,2022,Brazil
288,1080,Bloodstained Coffin,Active,1996.0,Death Metal,Hate,1996-2022,2022,Germany
289,1081,Bloodstone,Split-up,1991.0,Death Metal,Satanism,1991-1996,1996,Sweden
290,1084,Bloodstrike,Active,2013.0,Death Metal,Death,2013-2022,2022,United States
291,1089,Bloodtrails,Active,2012.0,Death Metal,Satanism,2012-2022,2022,Australia
292,1090,Bloodwoods,Active,2005.0,Death Metal,Epic themes,2005-2022,2022,United States
293,1091,Bloodwork,Active,2009.0,Death Metal,Cannibalism,2009-2022,2022,Brazil
294,1092,Bloodwork,Active,2002.0,Death Metal,Christianity,2002-2022,2022,United Kingdom
295,1098,Bloody Invasion,Active,2012.0,Death Metal,Sociocritical,2012-2022,2022,Germany
296,1103,Bloody Torture,Active,2009.0,Death Metal,Violence,2009-2022,2022,Chile
297,1106,BloodyObsession,Active,2007.0,Death Metal,Apocalypse,2007-2022,2022,Czech Republic
298,1112,Blue Wizard,Split-up,2006.0,Death Metal,Paranormal,2006-2008,2008,United States
299,1114,Blunt Force Trauma,Active,1999.0,Death Metal,Death,1999-2022,2022,United States
300,1118,Bodily Dismemberment,Active,2011.0,Death Metal,The Evil Dead movie,2011-2022,2022,Netherlands
301,1128,Bodyfarm,Active,2009.0,Death Metal,War,2009-2022,2022,Netherlands
302,1129,Boethiah,Active,2012.0,Death Metal,The Elder Scrolls,2012-2022,2022,United States
303,1131,Bokluk,Active,2011.0,Death Metal,Plagues,2011-2022,2022,Spain
304,1132,Bokrag,Active,2010.0,Death Metal,Violence,2010-2022,2022,Armenia
305,1134,Bolt Thrower,Split-up,1986.0,Death Metal,War,1986-2016,2016,United Kingdom
306,1140,Bone Sickness,Active,2009.0,Death Metal,Gore,2010-2022,2022,United States
307,1143,Bones,Active,2010.0,Death Metal,Death,2010-2022,2022,Belgium
308,1145,Bonesaw,Split-up,2000.0,Death Metal,Death,2000-2014,2014,United Kingdom
